lat,lng
-7.24081,112.793584
-7.24081,112.793584
-7.2487359,112.740477
-7.24081,112.793584
-7.2517824,112.5990066
-7.2517824,112.5990066
-7.2517824,112.5990066
-7.2517824,112.5990066
-7.239014799999999,112.7480143
-7.250642999999998,112.76549
-7.238470299999999,112.7796359
-7.238477199999999,112.7486147
-7.3095967,112.7351189
-7.266762,112.722769
-7.258572600000001,112.7226146
-7.253815899999999,112.739436
-7.310833300000001,112.6796547
-7.2729276,112.6998937
-7.238470299999999,112.7796359
-7.250642999999998,112.76549
-7.2786564,112.7552166
-7.257765999999999,112.7320799
-7.266539300000001,112.7813621
-7.239433999999999,112.772826
-7.289040200000001,112.8128234
-7.2574719,112.7520883
-7.257792999999999,112.730529
-7.266539499999999,112.7813632
-7.2665397,112.7813642
-7.26654,112.7813653
-7.266540200000001,112.7813664
-7.2394216,112.7726957
-7.2487359,112.740477
-7.239512,112.734828
-7.2487359,112.740477
-7.2487359,112.740477
-7.2799289,112.8060824
-7.275783000000001,112.801763
-7.275783000000001,112.801763
-7.275783000000001,112.801763
-7.291789,112.6695119
-7.2487245,112.7486623
-7.3366567,112.7437033
-7.262040499999999,112.7760869
-7.2534126,112.7049002
-7.2911082,112.6652163
-7.2911082,112.6652163
-7.2911082,112.6652163
-7.2911082,112.6652163
-7.2957394,112.6961877
-7.3145463,112.6643296
-7.3145463,112.6643296
-7.3145463,112.6643296
-7.2788799,112.754715
-7.296446899999999,112.766497
-7.2597367,112.7169421
-37.838,145.144
-7.2953915,112.71826
-37.838,145.144
-7.245996,112.779489
-7.2597367,112.7169421
-7.2597367,112.7169421
-37.838,145.144
-37.838,145.144
-37.838,145.144
-7.2953915,112.71826
-7.266341699999999,112.7717447
-7.247433,112.7547131
-7.2574719,112.7520883
-7.308325300000001,112.8041419
-7.3083266,112.804144
-7.271886999999999,112.6992741
-7.264232900000001,112.7815973
-7.2574719,112.7520883
-7.271886999999999,112.6992741
-7.264232900000001,112.7815973
-6.356087199999999,106.879792
-7.2729276,112.6998937
-7.264232900000001,112.7815973
-7.2574719,112.7520883
-7.2574719,112.7520883
-7.2574719,112.7520883
-7.2517824,112.5990066
-7.2517824,112.5990066
-7.916667,112.45
-7.246123,112.757152
-7.246123,112.757152
-7.250694,112.770486
-7.239317799999999,112.7292389
-7.250694,112.770486
-7.250694,112.770486
-7.250694,112.770486
-7.3353658,112.6994463
-7.2389188,112.7295518
-7.27304,112.732292
-7.2640327,112.6931087
-7.2640327,112.6931087
-7.2640327,112.6931087
-7.2640327,112.6931087
-7.2640327,112.6931087
-7.2640327,112.6931087
-7.2640327,112.6931087
-7.2963203,112.6297871
-7.2963203,112.6297871
-7.267931000000001,112.719836
-7.318029200000001,112.743069
-7.322873999999999,112.798217
-7.250016,112.780457
-8.174853299999999,113.7008044
-7.257414000000001,112.733017
-7.272947200000001,112.7427341
-7.321609,112.7473004
-7.281005,112.7018299
-7.279455,112.760695
-7.242914799999999,112.5911729
-7.299043999999999,112.771975
-7.258584900000001,112.7291749
-7.335783999999999,112.7429284
-7.281226299999999,112.7684588
-7.264179899999999,112.6821312
-7.2574719,112.7520883
-7.283186,112.7828109
-7.2517824,112.5990066
-7.281226299999999,112.7684588
-7.2615737,112.7197515
-7.262040499999999,112.7760869
4.597479,101.090106
-7.266388999999999,112.7228919
-6.991550699999999,110.3816392
-7.2902253,112.7752369
-7.2615737,112.7197515
-7.2615737,112.7197515
-7.3158485,112.7573955
-7.3331123,112.7733353
-7.315276999999999,112.7585249
-7.3334286,112.7733106
-7.285905000000001,112.738121
-7.285905000000001,112.738121
-7.305828,112.7710409
-7.2406375,112.7802883
-7.2574719,112.7520883
-7.240751,112.7535819
-7.2574719,112.7520883
-7.2574719,112.7520883
-7.898949399999999,112.9237533
-7.2561499,112.718408
-7.2765092,112.7043684
-8.6806166,115.2100408
-0.9260749,119.880836
-7.2765092,112.7043684
-7.256965999999999,112.7249369
-7.256083,112.718013
-0.9260749,119.880836
-7.2765092,112.7043684
-8.6806166,115.2100408
-7.2765092,112.7043684
-0.9260749,119.880836
-7.2931415,112.7228202
-7.245188099999999,112.7572916
-7.2487314,112.7779254
-7.2574719,112.7520883
-7.291789,112.6695119
-7.266388999999999,112.7228919
-7.266388999999999,112.7228919
-7.261641999999999,112.733259
-7.261738499999999,112.7203567
-7.333514000000001,112.7414889
-7.2736941,112.7345451
-7.262309500000001,112.7203456
-7.283714899999999,112.7019481
-7.276504699999999,112.7044625
-7.25651,112.743453
-7.257977,112.72932
-7.2651977,112.6797549
-7.264889999999999,112.7149239
-7.315136700000001,112.6637908
-7.279481400000001,112.683284
-7.273353999999999,112.733436
-7.265978799999999,112.6943784
-7.273353999999999,112.733436
-7.273353999999999,112.733436
-7.270934,112.727016
-7.265508099999999,112.6947229
-7.270934,112.727016
-7.265978799999999,112.6943784
-7.273353999999999,112.733436
-7.319819899999999,112.7420274
-7.291920299999999,112.7454567
-7.2140345,112.7704477
3.1696346,98.3930342
-7.344521299999999,112.6959604
-7.0196187,110.4366496
1.35795,103.8881644
-7.2140345,112.7704477
-7.2140345,112.7704477
-7.344521299999999,112.6959604
3.1696346,98.3930342
3.1696346,98.3930342
-7.0196187,110.4366496
-7.3300163,112.7152089
-7.0196187,110.4366496
-7.344678500000001,112.6964564
-7.312802400000001,112.7072435
-7.344855999999999,112.6932833
